feature,importance_mean,importance_std
ap_hi,0.18275537553513932,0.0032296884383155055
age,0.039461644199818055,0.0010129484139269546
cholesterol,0.02702932045504276,0.001410687395986881
weight,0.00512918017679318,0.0006644621523266479
ap_lo,0.0023761803308276043,0.00036275339950488377
active,0.0019478988846540536,0.00021247049756666173
gluc,0.001128085878745666,0.00011972411569120478
height,0.0003560397911313018,0.00020788738205504135
smoke,0.00034574438241892215,0.0002283809759948911
alco,0.0002337416700226136,0.00014328917941011996
gender,7.325041618959638e-05,6.197363495552121e-05
